code,country
GKA,Papua New Guinea
AYGA,Papua New Guinea
MAG,Papua New Guinea
AYMD,Papua New Guinea
HGU,Papua New Guinea
AYMH,Papua New Guinea
LAE,Papua New Guinea
AYNZ,Papua New Guinea
POM,Papua New Guinea
AYPY,Papua New Guinea
WWK,Papua New Guinea
AYWK,Papua New Guinea
UAK,Greenland
BGBW,Greenland
GOH,Greenland
BGGH,Greenland
SFJ,Greenland
BGSF,Greenland
THU,Greenland
BGTL,Greenland
AEY,Iceland
BIAR,Iceland
EGS,Iceland
BIEG,Iceland
HFN,Iceland
BIHN,Iceland
HZK,Iceland
BIHU,Iceland
IFJ,Iceland
BIIS,Iceland
KEF,Iceland
BIKF,Iceland
PFJ,Iceland
BIPA,Iceland
RKV,Iceland
BIRK,Iceland
SIJ,Iceland
BISI,Iceland
VEY,Iceland
BIVM,Iceland
YAM,Canada
CYAM,Canada
CYAV,Canada
CYAW,Canada
YAY,Canada
CYAY,Canada
YAZ,Canada
CYAZ,Canada
YBB,Canada
CYBB,Canada
YBC,Canada
CYBC,Canada
YBG,Canada
CYBG,Canada
YBK,Canada
CYBK,Canada
YBL,Canada
CYBL,Canada
YBR,Canada
CYBR,Canada
YCB,Canada
CYCB,Canada
YCD,Canada
CYCD,Canada
YCG,Canada
CYCG,Canada
YCH,Canada
CYCH,Canada
YCL,Canada
CYCL,Canada
YCO,Canada
CYCO,Canada
YCT,Canada
CYCT,Canada
YCW,Canada
CYCW,Canada
YCY,Canada
CYCY,Canada
YZS,Canada
CYZS,Canada
YDA,Canada
CYDA,Canada
YDB,Canada
CYDB,Canada
CYDC,Canada
YDF,Canada
CYDF,Canada
YDL,Canada
CYDL,Canada
YDN,Canada
CYDN,Canada
YDQ,Canada
CYDQ,Canada
YEG,Canada
CYEG,Canada
YEK,Canada
CYEK,Canada
YEN,Canada
CYEN,Canada
YET,Canada
