国名,近接中心性,順位
CUB,3666.5689307492803,1
CHN,3647.3373973881517,2
MMR,3638.285535840156,3
NGA,3636.090268752322,4
HKG,3610.4953431181375,5
SSD,3609.6456714646843,6
BEN,3608.449120358624,7
GHA,3603.601383706366,8
ETH,3603.231298800475,9
ERI,3600.7865529156775,10
PHL,3594.545195315014,11
SDN,3592.977744661374,12
HTI,3592.501872046398,13
AGO,3592.0167185695373,14
IND,3590.967649909889,15
MLI,3589.1094933176732,16
SOM,3588.7511290418593,17
BGD,3587.7499144122426,18
AFG,3586.34710864781,19
COD,3583.1540107981978,20
