Rank,Country,Centrality
1,USA,0.07083477911629867
2,GBR,0.03936577110453706
3,DEU,0.03156225267808475
4,AUS,0.02801894552477455
5,FRA,0.027962141769853604
6,ESP,0.02511742320903267
7,CAN,0.024804350045340772
8,ITA,0.02296869643776046
9,CHN,0.018322810320941085
10,MEX,0.017618702151714488
11,RUS,0.015381671392467863
12,JPN,0.014914991129834326
13,TUR,0.013837118582366538
14,BEL,0.013701921704699868
15,CHE,0.012938365634383187
16,ARE,0.01253979066727153
17,IND,0.011187990465980334
18,NLD,0.01070817150711362
19,NZL,0.010497635873361407
20,SWE,0.010011814720705817
